0 0 33.3333
0.1 0.0714286 33.1667
0.2 0.142857 33
0.3 0.214286 32.8333
0.4 0.285714 32.6667
0.5 0.357143 32.5
0.6 0.428571 32.3333
0.7 0.5 32.1667
0.8 0.571429 32
0.9 0.642857 31.8333
1 0.714286 31.6667
1.1 0.785714 31.5
1.2 0.857143 31.3333
1.3 0.928571 31.1667
1.4 1 31
1.5 1.07143 30.8333
1.6 1.14286 30.6667
1.7 1.21429 30.5
1.8 1.28571 30.3333
1.9 1.35714 30.1667
2 1.42857 30
2.1 1.5 29.8333
2.2 1.57143 29.6667
2.3 1.64286 29.5
2.4 1.71429 29.3333
2.5 1.78571 29.1667
2.6 1.85714 29
2.7 1.92857 28.8333
2.8 2 28.6667
2.9 2.07143 28.5
3 2.14286 28.3333
3.1 2.21429 28.1667
3.2 2.28571 28
3.3 2.35714 27.8333
3.4 2.42857 27.6667
3.5 2.5 27.5
3.6 2.57143 27.3333
3.7 2.64286 27.1667
3.8 2.71429 27
3.9 2.78571 26.8333
4 2.85714 26.6667
4.1 2.92857 26.5
4.2 3 26.3333
4.3 3.07143 26.1667
4.4 3.14286 26
4.5 3.21429 25.8333
4.6 3.28571 25.6667
4.7 3.35714 25.5
4.8 3.42857 25.3333
4.9 3.5 25.1667
5 3.57143 25
5.1 3.64286 24.8333
5.2 3.71429 24.6667
5.3 3.78571 24.5
5.4 3.85714 24.3333
5.5 3.92857 24.1667
5.6 4 24
5.7 4.07143 23.8333
5.8 4.14286 23.6667
5.9 4.21429 23.5
6 4.28571 23.3333
6.1 4.35714 23.1667
6.2 4.42857 23
6.3 4.5 22.8333
6.4 4.57143 22.6667
6.5 4.64286 22.5
6.6 4.71429 22.3333
6.7 4.78571 22.1667
6.8 4.85714 22
6.9 4.92857 21.8333
7 5 21.6667
7.1 5.07143 21.5
7.2 5.14286 21.3333
7.3 5.21429 21.1667
7.4 5.28571 21
7.5 5.35714 20.8333
7.6 5.42857 20.6667
7.7 5.5 20.5
7.8 5.57143 20.3333
7.9 5.64286 20.1667
8 5.71429 20
8.1 5.78571 19.8333
8.2 5.85714 19.6667
8.3 5.92857 19.5
8.4 6 19.3333
8.5 6.07143 19.1667
8.6 6.14286 19
8.7 6.21429 18.8333
8.8 6.28571 18.6667
8.9 6.35714 18.5
9 6.42857 18.3333
9.1 6.5 18.1667
9.2 6.57143 18
9.3 6.64286 17.8333
9.4 6.71429 17.6667
9.5 6.78571 17.5
9.6 6.85714 17.3333
9.7 6.92857 17.1667
9.8 7 17
9.9 7.07143 16.8333
10 7.14286 16.6667
10.1 7.21429 16.5
10.2 7.28571 16.3333
10.3 7.35714 16.1667
10.4 7.42857 16
10.5 7.5 15.8333
10.6 7.57143 15.6667
10.7 7.64286 15.5
10.8 7.71429 15.3333
10.9 7.78571 15.1667
11 7.85714 15
11.1 7.92857 14.8333
11.2 8 14.6667
11.3 8.07143 14.5
11.4 8.14286 14.3333
11.5 8.21429 14.1667
11.6 8.28571 14
11.7 8.35714 13.8333
11.8 8.42857 13.6667
11.9 8.5 13.5
12 8.57143 13.3333
12.1 8.64286 13.1667
12.2 8.71429 13
12.3 8.78571 12.8333
12.4 8.85714 12.6667
12.5 8.92857 12.5
12.6 9 12.3333
12.7 9.07143 12.1667
12.8 9.14286 12
12.9 9.21429 11.8333
13 9.28571 11.6667
13.1 9.35714 11.5
13.2 9.42857 11.3333
13.3 9.5 11.1667
13.4 9.57143 11
13.5 9.64286 10.8333
13.6 9.71429 10.6667
13.7 9.78571 10.5
13.8 9.85714 10.3333
13.9 9.92857 10.1667
14 10 10
14.1 10.0714 9.83333
14.2 10.1429 9.66667
14.3 10.2143 9.5
14.4 10.2857 9.33333
14.5 10.3571 9.16667
14.6 10.4286 9
14.7 10.5 8.83333
14.8 10.5714 8.66667
14.9 10.6429 8.5
15 10.7143 8.33333
15.1 10.7857 8.16667
15.2 10.8571 8
15.3 10.9286 7.83333
15.4 11 7.66667
15.5 11.0714 7.5
15.6 11.1429 7.33333
15.7 11.2143 7.16667
15.8 11.2857 7
15.9 11.3571 6.83333
16 11.4286 6.66667
16.1 11.5 6.5
16.2 11.5714 6.33333
16.3 11.6429 6.16667
16.4 11.7143 6
16.5 11.7857 5.83333
16.6 11.8571 5.66667
16.7 11.9286 5.5
16.8 12 5.33333
16.9 12.0714 5.16667
17 12.1429 5
17.1 12.2143 4.83333
17.2 12.2857 4.66667
17.3 12.3571 4.5
17.4 12.4286 4.33333
17.5 12.5 4.16667
17.6 12.5714 4
17.7 12.6429 3.83333
17.8 12.7143 3.66667
17.9 12.7857 3.5
18 12.8571 3.33333
18.1 12.9286 3.16667
18.2 13 3
18.3 13.0714 2.83333
18.4 13.1429 2.66667
18.5 13.2143 2.5
18.6 13.2857 2.33333
18.7 13.3571 2.16667
18.8 13.4286 2
18.9 13.5 1.83333
19 13.5714 1.66667
19.1 13.6429 1.5
19.2 13.7143 1.33333
19.3 13.7857 1.16667
19.4 13.8571 1
19.5 13.9286 0.833333
19.6 14 0.666667
19.7 14.0714 0.5
19.8 14.1429 0.333333
19.9 14.2143 0.166667
20 14.2857 -0
