0	3.87298
0.0166667	3.87349
0.0333333	3.87499
0.05	3.8775
0.0666667	3.881
0.0833333	3.88549
0.1	3.89096
0.116667	3.8974
0.133333	3.90479
0.15	3.91314
0.166667	3.92241
0.183333	3.9326
0.2	3.94368
0.216667	3.95563
0.233333	3.96844
0.25	3.98208
0.266667	3.99652
0.283333	4.01175
0.3	4.02774
0.316667	4.04445
0.333333	4.06187
0.35	4.07996
0.366667	4.0987
0.383333	4.11806
0.4	4.138
0.416667	4.1585
0.433333	4.17952
0.45	4.20104
0.466667	4.22302
0.483333	4.24543
0.5	4.26824
0.516667	4.29142
0.533333	4.31494
0.55	4.33876
0.566667	4.36285
0.583333	4.38719
0.6	4.41175
0.616667	4.43648
0.633333	4.46136
0.65	4.48637
0.666667	4.51147
0.683333	4.53663
0.7	4.56182
0.716667	4.58702
0.733333	4.6122
0.75	4.63733
0.766667	4.66238
0.783333	4.68733
0.8	4.71215
0.816667	4.73682
0.833333	4.76131
0.85	4.78559
0.866667	4.80965
0.883333	4.83346
0.9	4.857
0.916667	4.88024
0.933333	4.90316
0.95	4.92575
0.966667	4.94798
0.983333	4.96984
1	4.9913
1.01667	5.01234
1.03333	5.03295
1.05	5.05311
1.06667	5.0728
1.08333	5.09201
1.1	5.11072
1.11667	5.12892
1.13333	5.14659
1.15	5.16371
1.16667	5.18028
1.18333	5.19628
1.2	5.21169
1.21667	5.22652
1.23333	5.24073
1.25	5.25433
1.26667	5.26731
1.28333	5.27964
1.3	5.29133
1.31667	5.30237
1.33333	5.31275
1.35	5.32245
1.36667	5.33148
1.38333	5.33983
1.4	5.34748
1.41667	5.35444
1.43333	5.3607
1.45	5.36626
1.46667	5.3711
1.48333	5.37524
1.5	5.37866
1.51667	5.38136
1.53333	5.38334
1.55	5.3846
1.56667	5.38514
1.58333	5.38496
1.6	5.38406
1.61667	5.38243
1.63333	5.38009
1.65	5.37702
1.66667	5.37324
1.68333	5.36875
1.7	5.36354
1.71667	5.35763
1.73333	5.35102
1.75	5.34371
1.76667	5.3357
1.78333	5.32701
1.8	5.31764
1.81667	5.3076
1.83333	5.29689
1.85	5.28552
1.86667	5.2735
1.88333	5.26084
1.9	5.24755
1.91667	5.23364
1.93333	5.21911
1.95	5.20399
1.96667	5.18828
1.98333	5.17199
2	5.15514
2.01667	5.13774
2.03333	5.11981
2.05	5.10135
2.06667	5.08238
2.08333	5.06293
2.1	5.043
2.11667	5.02261
2.13333	5.00178
2.15	4.98052
2.16667	4.95886
2.18333	4.93681
2.2	4.9144
2.21667	4.89164
2.23333	4.86855
2.25	4.84516
2.26667	4.82148
2.28333	4.79755
2.3	4.77337
2.31667	4.74898
2.33333	4.7244
2.35	4.69965
2.36667	4.67476
2.38333	4.64976
2.4	4.62466
2.41667	4.59951
2.43333	4.57431
2.45	4.54911
2.46667	4.52393
2.48333	4.4988
2.5	4.47374
2.51667	4.44879
2.53333	4.42398
2.55	4.39934
2.56667	4.37489
2.58333	4.35067
2.6	4.32671
2.61667	4.30303
2.63333	4.27968
2.65	4.25669
2.66667	4.23407
2.68333	4.21188
2.7	4.19013
2.71667	4.16885
2.73333	4.14809
2.75	4.12787
2.76667	4.10822
2.78333	4.08917
2.8	4.07075
2.81667	4.053
2.83333	4.03593
2.85	4.01958
2.86667	4.00397
2.88333	3.98913
2.9	3.97509
2.91667	3.96187
2.93333	3.94949
2.95	3.93798
2.96667	3.92734
2.98333	3.91762
3	3.90881
3.01667	3.90094
3.03333	3.89403
3.05	3.88807
3.06667	3.8831
3.08333	3.87911
3.1	3.87611
3.11667	3.87411
